Order_ID,Order_Date,Shipping_Date,Customer_Segment,Product_Category,Quantity,Sales_USD,Shipping_Cost_USD,Delivery_Time_Days,Estimated_Delivery_Days,Distance_KM,Warehouse_Code,Region,Shipping_Mode,Delivery_Status,Customer_Rating
ORD-2024-2179,2024-03-12,2024-03-13,Corporate,Apparel,1,79.81,66.97,6.9,5,1275.4,WH-Central,South,Standard Delivery,Delivered,5.0
ORD-2024-1342,2024-02-06,2024-02-10,Consumer,Electronics,4,1192.24,46.28,5.7,5,508.9,WH-East,Central,Standard Delivery,Delivered,5.0
ORD-2024-1649,2024-03-13,2024-03-17,Corporate,Apparel,4,310.56,81.15,2.4,2,269.9,WH-North,East,Express Air,Delivered,4.0
ORD-2024-1772,2024-03-20,2024-03-24,Consumer,Healthcare Supplies,8,953.17,103.39,8.0,5,1685.5,WH-Central,West,Standard Delivery,Delivered,4.0
ORD-2024-1803,2024-05-08,2024-05-10,Corporate,Healthcare Supplies,2,250.5,75.37,3.7,7,737.2,WH-Central,South,Ground Freight,Delivered,5.0
ORD-2024-1358,2024-05-20,2024-05-22,Small Business,Electronics,1,265.85,94.28,4.3,7,1112.7,WH-Central,North,Ground Freight,Delivered,4.0
ORD-2024-1044,2024-05-05,2024-05-09,Consumer,Apparel,3,237.87,100.87,2.9,2,4876.331236048535,WH-North,North,Express Air,Delayed,3.0
ORD-2024-1231,2024-04-05,2024-04-06,Corporate,Electronics,8,1918.02,79.83,7.7,5,1193.7,WH-West,East,,Delivered,3.0
ORD-2024-1618,2024-06-04,2024-06-08,Home Office,Electronics,2,510.06,233.0,4.6,2,1976.2,WH-North,North,Express Air,Delivered,3.0
ORD-2024-1043,2024-01-17,2024-01-18,Small Business,Industrial Machinery,1,1432.57,72.94,3.4,2,227.6,WH-West,East,Express Air,Delivered,4.0
ORD-2024-1588,2024-05-19,2024-05-20,Consumer,Healthcare Supplies,2,206.91,155.16,1.6,1,641.1,WH-South,East,Same-Day Courier,Delivered,5.0
ORD-2024-1063,2024-01-08,2024-01-12,Consumer,Apparel,1,60.35,28.49,4.8,5,274.7,WH-East,North,Standard Delivery,Delivered,5.0
ORD-2024-2015,2024-02-02,2024-02-04,Small Business,Industrial Machinery,1,1259.91,79.4,,7,915.3,WH-Central,Central,Ground Freight,Delivered,4.0
ORD-2024-1270,2024-03-15,2024-03-17,Home Office,Electronics,4,996.02,67.53,6.7,5,4726.684302721794,WH-South,North,Standard Delivery,Delayed,1.0
ORD-2024-2140,2024-04-08,2024-04-10,Home Office,Office Supplies,3,107.21,59.94,6.7,5,805.6,WH-South,North,Standard Delivery,Delivered,3.0
ORD-2024-1076,2024-03-19,2024-03-23,Home Office,Electronics,2,514.51,115.54,4.0,2,607.5,WH-East,Central,Express Air,Delayed,2.0
ORD-2024-1081,2024-04-19,2024-04-21,Corporate,Apparel,10,553.47,85.13,5.8,5,1188.5,WH-West,Central,Standard Delivery,Delayed,3.0
ORD-2024-1643,2024-05-16,2024-05-17,Consumer,Electronics,3,702.82,71.12,7.0,5,1225.9,WH-North,East,Standard Delivery,Delayed,2.0
ORD-2024-1670,2024-02-06,2024-02-09,Consumer,Industrial Machinery,1,1484.31,60.07,7.0,7,694.4,WH-North,West,Ground Freight,Delivered,5.0
ORD-2024-1486,2024-06-20,2024-06-21,Consumer,Office Supplies,2,80.66,38.51,5.0,5,468.5,WH-North,North,Standard Delivery,Delivered,4.0
ORD-2024-1155,2024-06-03,2024-06-06,Consumer,Office Supplies,3,110.66,,5.7,5,1123.0,WH-East,South,Standard Delivery,Delivered,4.0
ORD-2024-1718,2024-02-29,2024-03-03,Consumer,Office Supplies,5,159.65,71.04,7.2,5,1293.7,WH-Central,West,Standard Delivery,Delivered,3.0
ORD-2024-1867,2024-03-15,2024-03-16,Consumer,Industrial Machinery,50,73446.01,142.31,6.9,5,401.7,WH-Central,South,Standard Delivery,Delivered,
ORD-2024-1771,2024-05-12,2024-05-13,Home Office,Industrial Machinery,10,10652.52,161.75,1.0,2,529.6,WH-East,North,Express Air,Delivered,3.0
ORD-2024-2181,2024-03-08,2024-03-09,Consumer,Apparel,3,178.98,-8.0,5.7,5,600.6,WH-South,North,Standard Delivery,Delivered,5.0
ORD-2024-1781,2024-05-20,2024-05-24,Corporate,Industrial Machinery,2,2757.87,67.18,7.3,5,1334.0,WH-North,North,Standard Delivery,Delivered,3.0
ORD-2024-2030,2024-03-15,2024-03-18,Consumer,Electronics,1,257.71,107.6,4.5,2,687.1,WH-North,South,Express Air,Delivered,3.0
ORD-2024-1858,2024-03-30,2024-04-02,Corporate,Electronics,1,233.83,67.43,6.5,5,1189.5,WH-Central,West,Standard Delivery,Delivered,
ORD-2024-1732,2024-01-08,2024-01-09,Corporate,Office Supplies,3,91.95,232.31,2.2,2,1609.9,WH-East,North,Express Air,Delivered,5.0
ORD-2024-1294,2024-06-06,2024-06-08,Consumer,Healthcare Supplies,15,1607.89,86.14,7.3,7,443.7,WH-South,South,Ground Freight,Delivered,5.0
ORD-2024-1221,2024-06-07,2024-06-08,Corporate,Apparel,1,67.05,33.05,5.7,5,448.4,WH-East,West,Standard Delivery,Delivered,4.0
ORD-2024-2192,2024-03-21,2024-03-24,Consumer,Apparel,8,477.33,62.01,6.4,7,332.7,WH-West,West,Ground Freight,Delivered,5.0
ORD-2024-1184,2024-03-07,2024-03-11,Consumer,Electronics,1,219.93,149.29,10.0,7,2008.3,WH-South,South,Ground Freight,Delivered,4.0
