,Quantity,Sales_USD,Shipping_Cost_USD,Delivery_Time_Days,Estimated_Delivery_Days,Distance_KM,Customer_Rating,Order_Processing_Days,Shipping_Delay_Days,Cost_Per_Unit,Cost_Per_KM,Speed_Index_KMPD
Quantity,0.0,5.85246704364897e-43,5.98133917822182e-17,0.8738015441588518,0.32842977622970837,0.21596342247742026,0.9403883972197782,0.5248444172806223,0.2599355690589666,4.7251795811145286e-30,6.644049899044638e-76,0.10168822136393689
Sales_USD,5.85246704364897e-43,0.0,1.957983304919058e-05,0.44575085423640337,0.9003593392743843,0.8005373009395624,0.6958063581136495,0.5368742092155355,0.2773600548217544,3.1233670225931324e-21,2.891162531887977e-10,0.9420685725362243
Shipping_Cost_USD,5.98133917822182e-17,1.957983304919058e-05,0.0,1.8159388664376645e-56,2.716221611462745e-172,1.4826999645904205e-59,0.003999302708644467,0.48415867396431284,2.6332046569243946e-21,8.480712568098812e-89,1.733450693724192e-61,1.9256445657041057e-143
Delivery_Time_Days,0.8738015441588518,0.44575085423640337,1.8159388664376645e-56,0.0,7.953440623561655e-279,9.825359193516892e-18,3.0446621042241515e-20,0.5164629070091169,9.30709423368406e-88,7.747139724428604e-28,3.188023875522227e-67,4.713285761597151e-124
Estimated_Delivery_Days,0.32842977622970837,0.9003593392743843,2.716221611462745e-172,7.953440623561655e-279,0.0,0.5273030288765875,0.9210973828237502,0.4459172272460633,0.0006568798590435751,1.851142192971921e-63,1.4445008308092301e-68,8.218534224468907e-123
Distance_KM,0.21596342247742026,0.8005373009395624,1.4826999645904205e-59,9.825359193516892e-18,0.5273030288765875,0.0,3.030432522762415e-16,0.6365203263328563,3.4337841355294035e-55,1.4546890844103986e-27,3.2948230771116714e-36,1.1185156208601418e-46
Customer_Rating,0.9403883972197782,0.6958063581136495,0.003999302708644467,3.0446621042241515e-20,0.9210973828237502,3.030432522762415e-16,0.0,0.8949463589792678,3.066760961476839e-57,0.042814539693231284,0.0087802128577777,0.0036754491461030913
Order_Processing_Days,0.5248444172806223,0.5368742092155355,0.48415867396431284,0.5164629070091169,0.4459172272460633,0.6365203263328563,0.8949463589792678,0.0,0.9933779434068205,0.7651857081595993,0.0786885529881211,0.9894929399653309
Shipping_Delay_Days,0.2599355690589666,0.2773600548217544,2.6332046569243946e-21,9.30709423368406e-88,0.0006568798590435751,3.4337841355294035e-55,3.066760961476839e-57,0.9933779434068205,0.0,7.784263115334449e-07,0.00026143776003533246,2.439895307121757e-07
Cost_Per_Unit,4.7251795811145286e-30,3.1233670225931324e-21,8.480712568098812e-89,7.747139724428604e-28,1.851142192971921e-63,1.4546890844103986e-27,0.042814539693231284,0.7651857081595993,7.784263115334449e-07,0.0,8.40770103697226e-05,1.4510272590969165e-66
Cost_Per_KM,6.644049899044638e-76,2.891162531887977e-10,1.733450693724192e-61,3.188023875522227e-67,1.4445008308092301e-68,3.2948230771116714e-36,0.0087802128577777,0.0786885529881211,0.00026143776003533246,8.40770103697226e-05,0.0,6.677735975477109e-07
Speed_Index_KMPD,0.10168822136393689,0.9420685725362243,1.9256445657041057e-143,4.713285761597151e-124,8.218534224468907e-123,1.1185156208601418e-46,0.0036754491461030913,0.9894929399653309,2.439895307121757e-07,1.4510272590969165e-66,6.677735975477109e-07,0.0
