Variable,Count,Mean,Median,Mode,Trimmed_Mean_5%,Std_Dev,Variance,Min,Q1_25%,Q3_75%,Max,Range,IQR,CV_Percent,Skewness,Excess_Kurtosis
Quantity,1250,3.4472,2.0,1.0,2.6306,5.802,33.6629,1.0,1.0,4.0,80.0,79.0,3.0,168.31,8.172,88.6811
Sales_USD,1250,615.4351,269.895,2165.61,562.119,707.9699,501221.3586,29.96,103.01,928.05,2165.61,2135.65,825.04,115.04,1.272,0.2106
Shipping_Cost_USD,1250,91.8475,71.37,233.07,87.7912,54.3952,2958.8401,8.0,51.0025,123.83,233.07,225.07,72.8275,59.22,1.0578,0.1529
Delivery_Time_Days,1250,5.0015,5.2,1.0,4.9629,2.2386,5.0113,0.5,3.3,6.6,11.55,11.05,3.3,44.76,0.1062,-0.3769
Estimated_Delivery_Days,1250,4.1432,5.0,5.0,4.159,1.9202,3.6872,1.0,2.0,5.0,7.0,6.0,3.0,46.35,-0.2769,-1.1523
Distance_KM,1250,819.4341,750.15,1886.88,798.1996,403.8342,163082.0866,90.2,515.75,1064.2,1886.88,1796.68,548.45,49.28,0.7236,0.0145
Customer_Rating,1250,3.6256,4.0,4.0,3.6945,1.192,1.421,1.0,3.0,4.0,5.0,4.0,1.0,32.88,-0.8006,-0.1575
Order_Processing_Days,1250,2.428,2.0,1.0,2.4201,1.1325,1.2826,1.0,1.0,3.0,4.0,3.0,2.0,46.64,0.0762,-1.3896
Shipping_Delay_Days,1250,0.8583,0.7,0.7,0.825,1.3502,1.8231,-5.0,0.0,1.7,9.55,14.55,1.7,157.31,0.6564,3.3853
Cost_Per_Unit,1250,49.4237,35.91,233.07,44.615,43.1024,1857.8131,2.31,18.925,66.14,233.07,230.76,47.215,87.21,1.7676,3.4708
Cost_Per_KM,1250,0.1302,0.0958,0.1235,0.119,0.1067,0.0114,0.0133,0.068,0.1673,2.0881,2.0748,0.0993,81.95,7.3701,107.2643
Speed_Index_KMPD,1250,211.3606,159.575,89.28,189.9826,176.5535,31171.1324,15.55,101.2025,259.0525,2195.2,2179.65,157.85,83.53,3.1499,19.2169
